[2023-02-10 02:38:57,981] shixuetiandeMacBook-Air.local/INFO/locust.main: Starting web interface at http://0.0.0.0:8089 (accepting connections from all network interfaces)
[2023-02-10 02:38:58,019] shixuetiandeMacBook-Air.local/INFO/locust.main: Starting Locust 2.14.2
[2023-02-10 02:39:08,953] shixuetiandeMacBook-Air.local/INFO/locust.runners: Shape test starting. User count and spawn rate are ignored for this type of load test
[2023-02-10 02:39:08,956] shixuetiandeMacBook-Air.local/INFO/locust.runners: Shape worker starting
[2023-02-10 02:39:08,958] shixuetiandeMacBook-Air.local/INFO/locust.runners: Shape test updating to 20 users at 1.00 spawn rate
[2023-02-10 02:39:08,960] shixuetiandeMacBook-Air.local/INFO/locust.runners: Ramping to 20 users at a rate of 1.00 per second
[2023-02-10 02:39:08,961] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:09,961] shixuetiandeMacBook-Air.local/INFO/root: [TASK] start one course
[2023-02-10 02:39:10,397] shixuetiandeMacBook-Air.local/INFO/root: Learner TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi login
[2023-02-10 02:39:10,962] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:10,980] shixuetiandeMacBook-Air.local/INFO/root: Learner iM.rNEcc40K.6mGEElng@51Hx.v.xWeZ login
[2023-02-10 02:39:11,963] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:12,032] shixuetiandeMacBook-Air.local/INFO/root: Learner Jud.7JbfLXTPGMi9@m.6.Mh8nG login
[2023-02-10 02:39:12,890] shixuetiandeMacBook-Air.local/INFO/root: Learner AyQfQMkp8.rNUIkw1@IP.h.Akg3 login
[2023-02-10 02:39:12,965] shixuetiandeMacBook-Air.local/INFO/root: [TASK] upload one image to course content
[2023-02-10 02:39:12,971] shixuetiandeMacBook-Air.local/INFO/root: select instructor 4fvfdP.IiEL2@26.K.wfZ2rl.
[2023-02-10 02:39:13,905] shixuetiandeMacBook-Air.local/INFO/root: Instructor 4fvfdP.IiEL2@26.K.wfZ2rl login
[2023-02-10 02:39:13,922] shixuetiandeMacBook-Air.local/INFO/root: select activity with code USI1.
[2023-02-10 02:39:13,967] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:15,075] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:15,075] shixuetiandeMacBook-Air.local/INFO/root: Learner Nj.uwQ.1eDEqTqn@3PU.i.EliF login
[2023-02-10 02:39:15,081] shixuetiandeMacBook-Air.local/INFO/root: Learner Nj.uwQ.1eDEqTqn@3PU.i.EliF login
[2023-02-10 02:39:15,592] shixuetiandeMacBook-Air.local/INFO/root: upload image pexels-jane-doan-1132047.jpg to content of course USI1.
[2023-02-10 02:39:16,131] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:16,131] shixuetiandeMacBook-Air.local/INFO/root: student Nj.uwQ.1eDEqTqn@3PU.i.EliF visits my courses.
[2023-02-10 02:39:16,139] shixuetiandeMacBook-Air.local/INFO/root: Learner Jud.7JbfLXTPGMi9@m.6.Mh8nG login
[2023-02-10 02:39:17,130] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:17,135] shixuetiandeMacBook-Air.local/INFO/root: Learner AyQfQMkp8.rNUIkw1@IP.h.Akg3 login
[2023-02-10 02:39:18,102] shixuetiandeMacBook-Air.local/INFO/root: student AyQfQMkp8.rNUIkw1@IP.h.Akg3 visits my courses.
[2023-02-10 02:39:18,131] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:18,138] shixuetiandeMacBook-Air.local/INFO/root: Learner Jud.7JbfLXTPGMi9@m.6.Mh8nG login
[2023-02-10 02:39:19,413] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:19,434] shixuetiandeMacBook-Air.local/INFO/root: Learner TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi login
[2023-02-10 02:39:19,824] shixuetiandeMacBook-Air.local/INFO/root: student Jud.7JbfLXTPGMi9@m.6.Mh8nG visits course USI3.
[2023-02-10 02:39:20,178] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit my courses
[2023-02-10 02:39:20,183] shixuetiandeMacBook-Air.local/INFO/root: Learner AyQfQMkp8.rNUIkw1@IP.h.Akg3 login
[2023-02-10 02:39:21,186] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:21,207] shixuetiandeMacBook-Air.local/INFO/root: student AyQfQMkp8.rNUIkw1@IP.h.Akg3 visits my courses.
[2023-02-10 02:39:22,273] shixuetiandeMacBook-Air.local/INFO/root: student TsAy.quKA9O91Y.NjdX5x@N2Q.zdC.MkIi visits course USI1.
[2023-02-10 02:39:22,344] shixuetiandeMacBook-Air.local/INFO/root: [TASK] visit one course
[2023-02-10 02:39:23,466] shixuetiandeMacBook-Air.local/INFO/root: [TASK] edit one course content
[2023-02-10 02:39:23,468] shixuetiandeMacBook-Air.local/INFO/root: student AyQfQMkp8.rNUIkw1@IP.h.Akg3 visits course USI2.
[2023-02-10 02:39:23,469] shixuetiandeMacBook-Air.local/INFO/root: Learner 7.SzSghRpNCl2Gxf@q.biaY.Ce login
[2023-02-10 02:39:23,482] shixuetiandeMacBook-Air.local/INFO/root: select instructor PRd.9qFISMkUd2jIv.3gWD@5.1ImT.gRmR.
[2023-02-10 02:39:23,546] shixuetiandeMacBook-Air.local/INFO/root: Learner RkOvG.jURGb4.VIs5@E3.BL.Nzqk login
